age,weight(kg),height(m),gender,calories_to_maintain_weight,Goal,Label
16,51.3264823,1.592752959,M,2767.8231,Lose Weight,Plan 1
15,50.77259381,1.593616391,M,2767.1467,Lose Weight,Plan 1
16,51.24329238,1.591310987,M,2764.2891,Lose Weight,Plan 1
14,49.93424676,1.597486473,M,2761.9198,Lose Weight,Plan 1
15,50.52846609,1.590140802,M,2757.489,Lose Weight,Plan 1
15,50.24145062,1.59675488,M,2756.3015,Lose Weight,Plan 1
16,50.7209989,1.59595445,M,2755.1045,Lose Weight,Plan 1
15,50.3288091,1.592435342,M,2754.4718,Lose Weight,Plan 1
16,50.78502792,1.589594103,M,2750.7288,Lose Weight,Plan 1
14,54.16580701,1.596272005,M,2568.7136,Lose Weight,Plan 1
15,54.03951973,1.597049808,M,2554.8722,Lose Weight,Plan 1
15,54.26140026,1.587933708,M,2552.2916,Lose Weight,Plan 1
15,54.21284195,1.598585744,M,2861.4171,Lose Weight,Plan 1
16,54.32053104,1.58967949,M,2842.8389,Lose Weight,Plan 1
16,54.1410637,1.590011782,M,2838.4822,Lose Weight,Plan 1
14,52.90646823,1.591599608,M,2833.6942,Lose Weight,Plan 1
16,53.62452469,1.596890537,M,2831.5719,Lose Weight,Plan 1
16,53.53067786,1.598035128,M,2830.2172,Lose Weight,Plan 1
15,52.86148302,1.599997464,M,2827.5819,Lose Weight,Plan 1
15,52.8432586,1.598702751,M,2825.8776,Lose Weight,Plan 1
15,53.11925492,1.590289525,M,2825.0701,Lose Weight,Plan 1
14,52.25135642,1.596274302,M,2821.0839,Lose Weight,Plan 1
17,53.60222445,1.59716492,M,2818.3327,Lose Weight,Plan 1
15,52.29251293,1.599283993,M,2812.0931,Lose Weight,Plan 1
15,52.24218827,1.599292893,M,2810.7916,Lose Weight,Plan 1
15,52.60064244,1.588748705,M,2810.1057,Lose Weight,Plan 1
17,53.37466967,1.593099244,M,2808.5477,Lose Weight,Plan 1
17,53.44154268,1.590920953,M,2808.219,Lose Weight,Plan 1
16,52.97525525,1.588031678,M,2806.2563,Lose Weight,Plan 1
14,51.87117118,1.587767545,M,2803.1061,Lose Weight,Plan 1
16,52.41670318,1.599784471,M,2802.8819,Lose Weight,Plan 1
15,52.02677001,1.589506384,M,2795.888,Lose Weight,Plan 1
16,52.13989855,1.593950002,M,2790.1348,Lose Weight,Plan 1
15,51.37214277,1.599421612,M,2788.2671,Lose Weight,Plan 1
16,51.85347728,1.595321402,M,2783.9807,Lose Weight,Plan 1
17,52.27952358,1.596325749,M,2783.1048,Lose Weight,Plan 1
16,51.67576353,1.59908108,M,2782.9281,Lose Weight,Plan 1
16,51.67321367,1.592060389,M,2776.1907,Lose Weight,Plan 1
15,51.2332643,1.589629965,M,2775.3509,Lose Weight,Plan 1
15,50.92662643,1.595598986,M,2773.0386,Lose Weight,Plan 1
15,50.73399898,1.596954723,M,2769.3127,Lose Weight,Plan 1
16,51.3264823,1.592752959,M,2767.8231,Lose Weight,Plan 1
15,50.77259381,1.593616391,M,2767.1467,Lose Weight,Plan 1
16,51.24329238,1.591310987,M,2764.2891,Lose Weight,Plan 1
14,49.93424676,1.597486473,M,2761.9198,Lose Weight,Plan 1
15,50.52846609,1.590140802,M,2757.489,Lose Weight,Plan 1
15,50.24145062,1.59675488,M,2756.3015,Lose Weight,Plan 1
16,50.7209989,1.59595445,M,2755.1045,Lose Weight,Plan 1
15,50.3288091,1.592435342,M,2754.4718,Lose Weight,Plan 1
16,50.78502792,1.589594103,M,2750.7288,Lose Weight,Plan 1
14,54.16580701,1.596272005,M,2568.7136,Lose Weight,Plan 1
15,54.03951973,1.597049808,M,2554.8722,Lose Weight,Plan 1
15,54.26140026,1.587933708,M,2552.2916,Lose Weight,Plan 1
15,54.21284195,1.598585744,M,2861.4171,Lose Weight,Plan 1
16,54.32053104,1.58967949,M,2842.8389,Lose Weight,Plan 1
16,54.1410637,1.590011782,M,2838.4822,Lose Weight,Plan 1
14,52.90646823,1.591599608,M,2833.6942,Lose Weight,Plan 1
16,53.62452469,1.596890537,M,2831.5719,Lose Weight,Plan 1
16,53.53067786,1.598035128,M,2830.2172,Lose Weight,Plan 1
15,52.86148302,1.599997464,M,2827.5819,Lose Weight,Plan 1
15,52.8432586,1.598702751,M,2825.8776,Lose Weight,Plan 1
15,53.11925492,1.590289525,M,2825.0701,Lose Weight,Plan 1
14,52.25135642,1.596274302,M,2821.0839,Lose Weight,Plan 1
17,53.60222445,1.59716492,M,2818.3327,Lose Weight,Plan 1
15,52.29251293,1.599283993,M,2812.0931,Lose Weight,Plan 1
15,52.24218827,1.599292893,M,2810.7916,Lose Weight,Plan 1
15,52.60064244,1.588748705,M,2810.1057,Lose Weight,Plan 1
17,53.37466967,1.593099244,M,2808.5477,Lose Weight,Plan 1
17,53.44154268,1.590920953,M,2808.219,Lose Weight,Plan 1
16,52.97525525,1.588031678,M,2806.2563,Lose Weight,Plan 1
14,51.87117118,1.587767545,M,2803.1061,Lose Weight,Plan 1
16,52.41670318,1.599784471,M,2802.8819,Lose Weight,Plan 1
15,52.02677001,1.589506384,M,2795.888,Lose Weight,Plan 1
16,52.13989855,1.593950002,M,2790.1348,Lose Weight,Plan 1
15,51.37214277,1.599421612,M,2788.2671,Lose Weight,Plan 1
16,51.85347728,1.595321402,M,2783.9807,Lose Weight,Plan 1
17,52.27952358,1.596325749,M,2783.1048,Lose Weight,Plan 1
16,51.67576353,1.59908108,M,2782.9281,Lose Weight,Plan 1
16,51.67321367,1.592060389,M,2776.1907,Lose Weight,Plan 1
15,51.2332643,1.589629965,M,2775.3509,Lose Weight,Plan 1
15,50.92662643,1.595598986,M,2773.0386,Lose Weight,Plan 1
15,50.73399898,1.596954723,M,2769.3127,Lose Weight,Plan 1
16,51.3264823,1.592752959,M,2767.8231,Lose Weight,Plan 1
15,50.77259381,1.593616391,M,2767.1467,Lose Weight,Plan 1
16,51.24329238,1.591310987,M,2764.2891,Lose Weight,Plan 1
14,49.93424676,1.597486473,M,2761.9198,Lose Weight,Plan 1
15,50.52846609,1.590140802,M,2757.489,Lose Weight,Plan 1
15,50.24145062,1.59675488,M,2756.3015,Lose Weight,Plan 1
16,50.7209989,1.59595445,M,2755.1045,Lose Weight,Plan 1
15,50.3288091,1.592435342,M,2754.4718,Lose Weight,Plan 1
16,50.78502792,1.589594103,M,2750.7288,Lose Weight,Plan 1
14,54.16580701,1.596272005,M,2568.7136,Lose Weight,Plan 1
15,54.03951973,1.597049808,M,2554.8722,Lose Weight,Plan 1
15,54.26140026,1.587933708,M,2552.2916,Lose Weight,Plan 1
15,54.21284195,1.598585744,M,2861.4171,Lose Weight,Plan 1
16,54.32053104,1.58967949,M,2842.8389,Lose Weight,Plan 1
16,54.1410637,1.590011782,M,2838.4822,Lose Weight,Plan 1
14,52.90646823,1.591599608,M,2833.6942,Lose Weight,Plan 1
16,53.62452469,1.596890537,M,2831.5719,Lose Weight,Plan 1
16,53.53067786,1.598035128,M,2830.2172,Lose Weight,Plan 1
15,52.86148302,1.599997464,M,2827.5819,Lose Weight,Plan 1
15,52.8432586,1.598702751,M,2825.8776,Lose Weight,Plan 1
15,53.11925492,1.590289525,M,2825.0701,Lose Weight,Plan 1
14,52.25135642,1.596274302,M,2821.0839,Lose Weight,Plan 1
17,53.60222445,1.59716492,M,2818.3327,Lose Weight,Plan 1
15,52.29251293,1.599283993,M,2812.0931,Lose Weight,Plan 1
15,52.24218827,1.599292893,M,2810.7916,Lose Weight,Plan 1
15,52.60064244,1.588748705,M,2810.1057,Lose Weight,Plan 1
17,53.37466967,1.593099244,M,2808.5477,Lose Weight,Plan 1
17,53.44154268,1.590920953,M,2808.219,Lose Weight,Plan 1
16,52.97525525,1.588031678,M,2806.2563,Lose Weight,Plan 1
14,51.87117118,1.587767545,M,2803.1061,Lose Weight,Plan 1
16,52.41670318,1.599784471,M,2802.8819,Lose Weight,Plan 1
15,52.02677001,1.589506384,M,2795.888,Lose Weight,Plan 1
16,52.13989855,1.593950002,M,2790.1348,Lose Weight,Plan 1
15,51.37214277,1.599421612,M,2788.2671,Lose Weight,Plan 1
16,51.85347728,1.595321402,M,2783.9807,Lose Weight,Plan 1
17,52.27952358,1.596325749,M,2783.1048,Lose Weight,Plan 1
16,51.67576353,1.59908108,M,2782.9281,Lose Weight,Plan 1
16,51.67321367,1.592060389,M,2776.1907,Lose Weight,Plan 1
15,51.2332643,1.589629965,M,2775.3509,Lose Weight,Plan 1
15,50.92662643,1.595598986,M,2773.0386,Lose Weight,Plan 1
15,50.73399898,1.596954723,M,2769.3127,Lose Weight,Plan 1
16,51.3264823,1.592752959,M,2767.8231,Lose Weight,Plan 1
15,50.77259381,1.593616391,M,2767.1467,Lose Weight,Plan 1
16,51.24329238,1.591310987,M,2764.2891,Lose Weight,Plan 1
14,49.93424676,1.597486473,M,2761.9198,Lose Weight,Plan 1
15,50.52846609,1.590140802,M,2757.489,Lose Weight,Plan 1
15,50.24145062,1.59675488,M,2756.3015,Lose Weight,Plan 1
16,50.7209989,1.59595445,M,2755.1045,Lose Weight,Plan 1
15,50.3288091,1.592435342,M,2754.4718,Lose Weight,Plan 1
16,50.78502792,1.589594103,M,2750.7288,Lose Weight,Plan 1
14,54.16580701,1.596272005,M,2568.7136,Lose Weight,Plan 1
15,54.03951973,1.597049808,M,2554.8722,Lose Weight,Plan 1
15,54.26140026,1.587933708,M,2552.2916,Lose Weight,Plan 1
15,54.21284195,1.598585744,M,2861.4171,Lose Weight,Plan 1
16,54.32053104,1.58967949,M,2842.8389,Lose Weight,Plan 1
16,54.1410637,1.590011782,M,2838.4822,Lose Weight,Plan 1
14,52.90646823,1.591599608,M,2833.6942,Lose Weight,Plan 1
16,53.62452469,1.596890537,M,2831.5719,Lose Weight,Plan 1
16,53.53067786,1.598035128,M,2830.2172,Lose Weight,Plan 1
15,52.86148302,1.599997464,M,2827.5819,Lose Weight,Plan 1
15,52.8432586,1.598702751,M,2825.8776,Lose Weight,Plan 1
15,53.11925492,1.590289525,M,2825.0701,Lose Weight,Plan 1
14,52.25135642,1.596274302,M,2821.0839,Lose Weight,Plan 1
17,53.60222445,1.59716492,M,2818.3327,Lose Weight,Plan 1
15,52.29251293,1.599283993,M,2812.0931,Lose Weight,Plan 1
15,52.24218827,1.599292893,M,2810.7916,Lose Weight,Plan 1
15,52.60064244,1.588748705,M,2810.1057,Lose Weight,Plan 1
17,53.37466967,1.593099244,M,2808.5477,Lose Weight,Plan 1
17,53.44154268,1.590920953,M,2808.219,Lose Weight,Plan 1
16,52.97525525,1.588031678,M,2806.2563,Lose Weight,Plan 1
14,51.87117118,1.587767545,M,2803.1061,Lose Weight,Plan 1
16,52.41670318,1.599784471,M,2802.8819,Lose Weight,Plan 1
15,52.02677001,1.589506384,M,2795.888,Lose Weight,Plan 1
16,52.13989855,1.593950002,M,2790.1348,Lose Weight,Plan 1
15,51.37214277,1.599421612,M,2788.2671,Lose Weight,Plan 1
16,51.85347728,1.595321402,M,2783.9807,Lose Weight,Plan 1
17,52.27952358,1.596325749,M,2783.1048,Lose Weight,Plan 1
16,51.67576353,1.59908108,M,2782.9281,Lose Weight,Plan 1
16,51.67321367,1.592060389,M,2776.1907,Lose Weight,Plan 1
15,51.2332643,1.589629965,M,2775.3509,Lose Weight,Plan 1
15,50.92662643,1.595598986,M,2773.0386,Lose Weight,Plan 1
15,50.73399898,1.596954723,M,2769.3127,Lose Weight,Plan 1
16,51.3264823,1.592752959,M,2767.8231,Lose Weight,Plan 1
15,50.77259381,1.593616391,M,2767.1467,Lose Weight,Plan 1
16,51.24329238,1.591310987,M,2764.2891,Lose Weight,Plan 1
14,49.93424676,1.597486473,M,2761.9198,Lose Weight,Plan 1
15,50.52846609,1.590140802,M,2757.489,Lose Weight,Plan 1
15,50.24145062,1.59675488,M,2756.3015,Lose Weight,Plan 1
16,50.7209989,1.59595445,M,2755.1045,Lose Weight,Plan 1
15,50.3288091,1.592435342,M,2754.4718,Lose Weight,Plan 1
16,50.78502792,1.589594103,M,2750.7288,Lose Weight,Plan 1
14,54.16580701,1.596272005,M,2568.7136,Lose Weight,Plan 1
15,54.03951973,1.597049808,M,2554.8722,Lose Weight,Plan 1
15,54.26140026,1.587933708,M,2552.2916,Lose Weight,Plan 1
15,54.21284195,1.598585744,M,2861.4171,Lose Weight,Plan 1
16,54.32053104,1.58967949,M,2842.8389,Lose Weight,Plan 1
16,54.1410637,1.590011782,M,2838.4822,Lose Weight,Plan 1
14,52.90646823,1.591599608,M,2833.6942,Lose Weight,Plan 1
16,53.62452469,1.596890537,M,2831.5719,Lose Weight,Plan 1
16,53.53067786,1.598035128,M,2830.2172,Lose Weight,Plan 1
15,52.86148302,1.599997464,M,2827.5819,Lose Weight,Plan 1
15,52.8432586,1.598702751,M,2825.8776,Lose Weight,Plan 1
15,53.11925492,1.590289525,M,2825.0701,Lose Weight,Plan 1
14,52.25135642,1.596274302,M,2821.0839,Lose Weight,Plan 1
17,53.60222445,1.59716492,M,2818.3327,Lose Weight,Plan 1
15,52.29251293,1.599283993,M,2812.0931,Lose Weight,Plan 1
15,52.24218827,1.599292893,M,2810.7916,Lose Weight,Plan 1
15,52.60064244,1.588748705,M,2810.1057,Lose Weight,Plan 1
17,53.37466967,1.593099244,M,2808.5477,Lose Weight,Plan 1
17,53.44154268,1.590920953,M,2808.219,Lose Weight,Plan 1
16,52.97525525,1.588031678,M,2806.2563,Lose Weight,Plan 1
14,51.87117118,1.587767545,M,2803.1061,Lose Weight,Plan 1
16,52.41670318,1.599784471,M,2802.8819,Lose Weight,Plan 1
15,52.02677001,1.589506384,M,2795.888,Lose Weight,Plan 1
16,52.13989855,1.593950002,M,2790.1348,Lose Weight,Plan 1
15,51.37214277,1.599421612,M,2788.2671,Lose Weight,Plan 1
16,51.85347728,1.595321402,M,2783.9807,Lose Weight,Plan 1
17,52.27952358,1.596325749,M,2783.1048,Lose Weight,Plan 1
16,51.67576353,1.59908108,M,2782.9281,Lose Weight,Plan 1
16,51.67321367,1.592060389,M,2776.1907,Lose Weight,Plan 1
15,51.2332643,1.589629965,M,2775.3509,Lose Weight,Plan 1
15,50.92662643,1.595598986,M,2773.0386,Lose Weight,Plan 1
15,50.73399898,1.596954723,M,2769.3127,Lose Weight,Plan 1
16,51.3264823,1.592752959,M,2767.8231,Lose Weight,Plan 1
15,50.77259381,1.593616391,M,2767.1467,Lose Weight,Plan 1
16,51.24329238,1.591310987,M,2764.2891,Lose Weight,Plan 1
14,49.93424676,1.597486473,M,2761.9198,Lose Weight,Plan 1
15,50.52846609,1.590140802,M,2757.489,Lose Weight,Plan 1
15,50.24145062,1.59675488,M,2756.3015,Lose Weight,Plan 1
16,50.7209989,1.59595445,M,2755.1045,Lose Weight,Plan 1
15,50.3288091,1.592435342,M,2754.4718,Lose Weight,Plan 1
16,50.78502792,1.589594103,M,2750.7288,Lose Weight,Plan 1
14,54.16580701,1.596272005,M,2568.7136,Lose Weight,Plan 1
15,54.03951973,1.597049808,M,2554.8722,Lose Weight,Plan 1
15,54.26140026,1.587933708,M,2552.2916,Lose Weight,Plan 1
15,54.21284195,1.598585744,M,2861.4171,Lose Weight,Plan 1
16,54.32053104,1.58967949,M,2842.8389,Lose Weight,Plan 1
16,54.1410637,1.590011782,M,2838.4822,Lose Weight,Plan 1
14,52.90646823,1.591599608,M,2833.6942,Lose Weight,Plan 1
16,53.62452469,1.596890537,M,2831.5719,Lose Weight,Plan 1
16,53.53067786,1.598035128,M,2830.2172,Lose Weight,Plan 1
15,52.86148302,1.599997464,M,2827.5819,Lose Weight,Plan 1
15,52.8432586,1.598702751,M,2825.8776,Lose Weight,Plan 1
15,53.11925492,1.590289525,M,2825.0701,Lose Weight,Plan 1
14,52.25135642,1.596274302,M,2821.0839,Lose Weight,Plan 1
17,53.60222445,1.59716492,M,2818.3327,Lose Weight,Plan 1
15,52.29251293,1.599283993,M,2812.0931,Lose Weight,Plan 1
15,52.24218827,1.599292893,M,2810.7916,Lose Weight,Plan 1
15,52.60064244,1.588748705,M,2810.1057,Lose Weight,Plan 1
17,53.37466967,1.593099244,M,2808.5477,Lose Weight,Plan 1
17,53.44154268,1.590920953,M,2808.219,Lose Weight,Plan 1
16,52.97525525,1.588031678,M,2806.2563,Lose Weight,Plan 1
14,51.87117118,1.587767545,M,2803.1061,Lose Weight,Plan 1
16,52.41670318,1.599784471,M,2802.8819,Lose Weight,Plan 1
15,52.02677001,1.589506384,M,2795.888,Lose Weight,Plan 1
16,52.13989855,1.593950002,M,2790.1348,Lose Weight,Plan 1
15,51.37214277,1.599421612,M,2788.2671,Lose Weight,Plan 1
16,51.85347728,1.595321402,M,2783.9807,Lose Weight,Plan 1
17,52.27952358,1.596325749,M,2783.1048,Lose Weight,Plan 1
16,51.67576353,1.59908108,M,2782.9281,Lose Weight,Plan 1
16,51.67321367,1.592060389,M,2776.1907,Lose Weight,Plan 1
15,51.2332643,1.589629965,M,2775.3509,Lose Weight,Plan 1
15,50.92662643,1.595598986,M,2773.0386,Lose Weight,Plan 1
15,50.73399898,1.596954723,M,2769.3127,Lose Weight,Plan 1
16,51.3264823,1.592752959,M,2767.8231,Lose Weight,Plan 1
15,50.77259381,1.593616391,M,2767.1467,Lose Weight,Plan 1
16,51.24329238,1.591310987,M,2764.2891,Lose Weight,Plan 1
14,49.93424676,1.597486473,M,2761.9198,Lose Weight,Plan 1
15,50.52846609,1.590140802,M,2757.489,Lose Weight,Plan 1
15,50.24145062,1.59675488,M,2756.3015,Lose Weight,Plan 1
16,50.7209989,1.59595445,M,2755.1045,Lose Weight,Plan 1
15,50.3288091,1.592435342,M,2754.4718,Lose Weight,Plan 1
16,50.78502792,1.589594103,M,2750.7288,Lose Weight,Plan 1
14,54.16580701,1.596272005,M,2568.7136,Lose Weight,Plan 1
15,54.03951973,1.597049808,M,2554.8722,Lose Weight,Plan 1
15,54.26140026,1.587933708,M,2552.2916,Lose Weight,Plan 1
15,54.21284195,1.598585744,M,2861.4171,Lose Weight,Plan 1
16,54.32053104,1.58967949,M,2842.8389,Lose Weight,Plan 1
16,54.1410637,1.590011782,M,2838.4822,Lose Weight,Plan 1
14,52.90646823,1.591599608,M,2833.6942,Lose Weight,Plan 1
16,53.62452469,1.596890537,M,2831.5719,Lose Weight,Plan 1
16,53.53067786,1.598035128,M,2830.2172,Lose Weight,Plan 1
15,52.86148302,1.599997464,M,2827.5819,Lose Weight,Plan 1
15,52.8432586,1.598702751,M,2825.8776,Lose Weight,Plan 1
15,53.11925492,1.590289525,M,2825.0701,Lose Weight,Plan 1
14,52.25135642,1.596274302,M,2821.0839,Lose Weight,Plan 1
17,53.60222445,1.59716492,M,2818.3327,Lose Weight,Plan 1
15,52.29251293,1.599283993,M,2812.0931,Lose Weight,Plan 1
15,52.24218827,1.599292893,M,2810.7916,Lose Weight,Plan 1
15,52.60064244,1.588748705,M,2810.1057,Lose Weight,Plan 1
17,53.37466967,1.593099244,M,2808.5477,Lose Weight,Plan 1
17,53.44154268,1.590920953,M,2808.219,Lose Weight,Plan 1
16,52.97525525,1.588031678,M,2806.2563,Lose Weight,Plan 1
14,51.87117118,1.587767545,M,2803.1061,Lose Weight,Plan 1
16,52.41670318,1.599784471,M,2802.8819,Lose Weight,Plan 1
15,52.02677001,1.589506384,M,2795.888,Lose Weight,Plan 1
16,52.13989855,1.593950002,M,2790.1348,Lose Weight,Plan 1
15,51.37214277,1.599421612,M,2788.2671,Lose Weight,Plan 1
16,51.85347728,1.595321402,M,2783.9807,Lose Weight,Plan 1
17,52.27952358,1.596325749,M,2783.1048,Lose Weight,Plan 1
16,51.67576353,1.59908108,M,2782.9281,Lose Weight,Plan 1
16,51.67321367,1.592060389,M,2776.1907,Lose Weight,Plan 1
15,51.2332643,1.589629965,M,2775.3509,Lose Weight,Plan 1
15,50.92662643,1.595598986,M,2773.0386,Lose Weight,Plan 1
15,50.73399898,1.596954723,M,2769.3127,Lose Weight,Plan 1
16,51.3264823,1.592752959,M,2767.8231,Lose Weight,Plan 1
15,50.77259381,1.593616391,M,2767.1467,Lose Weight,Plan 1
16,51.24329238,1.591310987,M,2764.2891,Lose Weight,Plan 1
14,49.93424676,1.597486473,M,2761.9198,Lose Weight,Plan 1
15,50.52846609,1.590140802,M,2757.489,Lose Weight,Plan 1
15,50.24145062,1.59675488,M,2756.3015,Lose Weight,Plan 1
16,50.7209989,1.59595445,M,2755.1045,Lose Weight,Plan 1
15,50.3288091,1.592435342,M,2754.4718,Lose Weight,Plan 1
16,50.78502792,1.589594103,M,2750.7288,Lose Weight,Plan 1
14,54.16580701,1.596272005,M,2568.7136,Lose Weight,Plan 1
15,54.03951973,1.597049808,M,2554.8722,Lose Weight,Plan 1
15,54.26140026,1.587933708,M,2552.2916,Lose Weight,Plan 1
15,54.21284195,1.598585744,M,2861.4171,Lose Weight,Plan 1
16,54.32053104,1.58967949,M,2842.8389,Lose Weight,Plan 1
16,54.1410637,1.590011782,M,2838.4822,Lose Weight,Plan 1
14,52.90646823,1.591599608,M,2833.6942,Lose Weight,Plan 1
16,53.62452469,1.596890537,M,2831.5719,Lose Weight,Plan 1
16,53.53067786,1.598035128,M,2830.2172,Lose Weight,Plan 1
15,52.86148302,1.599997464,M,2827.5819,Lose Weight,Plan 1
15,52.8432586,1.598702751,M,2825.8776,Lose Weight,Plan 1
15,53.11925492,1.590289525,M,2825.0701,Lose Weight,Plan 1
14,52.25135642,1.596274302,M,2821.0839,Lose Weight,Plan 1
17,53.60222445,1.59716492,M,2818.3327,Lose Weight,Plan 1
15,52.29251293,1.599283993,M,2812.0931,Lose Weight,Plan 1
15,52.24218827,1.599292893,M,2810.7916,Lose Weight,Plan 1
15,52.60064244,1.588748705,M,2810.1057,Lose Weight,Plan 1
17,53.37466967,1.593099244,M,2808.5477,Lose Weight,Plan 1
17,53.44154268,1.590920953,M,2808.219,Lose Weight,Plan 1
16,52.97525525,1.588031678,M,2806.2563,Lose Weight,Plan 1
14,51.87117118,1.587767545,M,2803.1061,Lose Weight,Plan 1
16,52.41670318,1.599784471,M,2802.8819,Lose Weight,Plan 1
15,52.02677001,1.589506384,M,2795.888,Lose Weight,Plan 1
16,52.13989855,1.593950002,M,2790.1348,Lose Weight,Plan 1
15,51.37214277,1.599421612,M,2788.2671,Lose Weight,Plan 1
16,51.85347728,1.595321402,M,2783.9807,Lose Weight,Plan 1
17,52.27952358,1.596325749,M,2783.1048,Lose Weight,Plan 1
16,51.67576353,1.59908108,M,2782.9281,Lose Weight,Plan 1
16,51.67321367,1.592060389,M,2776.1907,Lose Weight,Plan 1
15,51.2332643,1.589629965,M,2775.3509,Lose Weight,Plan 1
15,50.92662643,1.595598986,M,2773.0386,Lose Weight,Plan 1
15,50.73399898,1.596954723,M,2769.3127,Lose Weight,Plan 1
16,51.3264823,1.592752959,M,2767.8231,Lose Weight,Plan 1
15,50.77259381,1.593616391,M,2767.1467,Lose Weight,Plan 1
16,51.24329238,1.591310987,M,2764.2891,Lose Weight,Plan 1
14,49.93424676,1.597486473,M,2761.9198,Lose Weight,Plan 1
15,50.52846609,1.590140802,M,2757.489,Lose Weight,Plan 1
15,50.24145062,1.59675488,M,2756.3015,Lose Weight,Plan 1
16,50.7209989,1.59595445,M,2755.1045,Lose Weight,Plan 1
15,50.3288091,1.592435342,M,2754.4718,Lose Weight,Plan 1
16,50.78502792,1.589594103,M,2750.7288,Lose Weight,Plan 1
14,54.16580701,1.596272005,M,2568.7136,Lose Weight,Plan 1
15,54.03951973,1.597049808,M,2554.8722,Lose Weight,Plan 1
15,54.26140026,1.587933708,M,2552.2916,Lose Weight,Plan 1
15,54.21284195,1.598585744,M,2861.4171,Lose Weight,Plan 1
16,54.32053104,1.58967949,M,2842.8389,Lose Weight,Plan 1
16,54.1410637,1.590011782,M,2838.4822,Lose Weight,Plan 1
14,52.90646823,1.591599608,M,2833.6942,Lose Weight,Plan 1
16,53.62452469,1.596890537,M,2831.5719,Lose Weight,Plan 1
16,53.53067786,1.598035128,M,2830.2172,Lose Weight,Plan 1
15,52.86148302,1.599997464,M,2827.5819,Lose Weight,Plan 1
15,52.8432586,1.598702751,M,2825.8776,Lose Weight,Plan 1
15,53.11925492,1.590289525,M,2825.0701,Lose Weight,Plan 1
14,52.25135642,1.596274302,M,2821.0839,Lose Weight,Plan 1
17,53.60222445,1.59716492,M,2818.3327,Lose Weight,Plan 1
15,52.29251293,1.599283993,M,2812.0931,Lose Weight,Plan 1
15,52.24218827,1.599292893,M,2810.7916,Lose Weight,Plan 1
15,52.60064244,1.588748705,M,2810.1057,Lose Weight,Plan 1
17,53.37466967,1.593099244,M,2808.5477,Lose Weight,Plan 1
17,53.44154268,1.590920953,M,2808.219,Lose Weight,Plan 1
16,52.97525525,1.588031678,M,2806.2563,Lose Weight,Plan 1
14,51.87117118,1.587767545,M,2803.1061,Lose Weight,Plan 1
16,52.41670318,1.599784471,M,2802.8819,Lose Weight,Plan 1
15,52.02677001,1.589506384,M,2795.888,Lose Weight,Plan 1
16,52.13989855,1.593950002,M,2790.1348,Lose Weight,Plan 1
15,51.37214277,1.599421612,M,2788.2671,Lose Weight,Plan 1
16,51.85347728,1.595321402,M,2783.9807,Lose Weight,Plan 1
17,52.27952358,1.596325749,M,2783.1048,Lose Weight,Plan 1
16,51.67576353,1.59908108,M,2782.9281,Lose Weight,Plan 1
16,51.67321367,1.592060389,M,2776.1907,Lose Weight,Plan 1
15,51.2332643,1.589629965,M,2775.3509,Lose Weight,Plan 1
15,50.92662643,1.595598986,M,2773.0386,Lose Weight,Plan 1
